[0.000000] (-) TimerEvent: {}
[0.000752] (-) JobUnselected: {'identifier': 'isaac_ros_apriltag_interfaces'}
[0.000907] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_interfaces'}
[0.000971] (-) JobUnselected: {'identifier': 'isaac_ros_common'}
[0.001046] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_interfaces'}
[0.001232] (-) JobUnselected: {'identifier': 'isaac_ros_nova_interfaces'}
[0.001282] (-) JobUnselected: {'identifier': 'isaac_ros_pointcloud_interfaces'}
[0.001333] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_list_interfaces'}
[0.001375] (-) JobUnselected: {'identifier': 'isaac_ros_test'}
[0.001592] (-) JobUnselected: {'identifier': 'lidar3d_clustering'}
[0.001834] (-) JobUnselected: {'identifier': 'lidar_ground_getter'}
[0.001922] (-) JobUnselected: {'identifier': 'lidar_imu_sync'}
[0.001971] (-) JobUnselected: {'identifier': 'lidar_path_to_odom'}
[0.002018] (-) JobUnselected: {'identifier': 'lio_sam'}
[0.002060] (-) JobUnselected: {'identifier': 'ros_compatibility'}
[0.002101] (-) JobUnselected: {'identifier': 'sdv_can'}
[0.002142] (-) JobUnselected: {'identifier': 'sdv_control'}
[0.002181] (-) JobUnselected: {'identifier': 'sdv_description'}
[0.002219] (-) JobUnselected: {'identifier': 'sdv_launch'}
[0.002260] (-) JobUnselected: {'identifier': 'sdv_lidar_processing'}
[0.002302] (-) JobUnselected: {'identifier': 'sdv_localization'}
[0.002342] (-) JobUnselected: {'identifier': 'sdv_manual_control'}
[0.002382] (-) JobUnselected: {'identifier': 'sdv_msgs'}
[0.002422] (-) JobUnselected: {'identifier': 'sdv_robot_description'}
[0.002461] (-) JobUnselected: {'identifier': 'vectornav'}
[0.002500] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.002538] (-) JobUnselected: {'identifier': 'voxel_grid_filter'}
[0.002577] (-) JobUnselected: {'identifier': 'waypoints_niagara_creator'}
[0.002617] (-) JobUnselected: {'identifier': 'waypoints_niagara_loader'}
[0.002658] (-) EventReactorShutdown: {}
