-63.0660302173587,-91.5197778355631
-63.076016665105435,-91.51896728272948
-63.08157228228294,-91.50951545615536
-62.997891801414795,-91.21612282166708
-62.75446610967633,-90.59980356631921
-62.37586445706749,-89.72306129198347
-61.83864341339259,-88.58437350578477
-61.320837019469586,-87.46143699900844
-60.99952257516649,-86.34635797107799
-60.85408090853802,-85.17158322238484
-60.91749598353111,-83.90086316114437
-61.309021491293706,-82.72968710297857
-61.91863709001948,-81.61940005010923
-62.85119180881759,-80.65103611433737
-64.09308575292076,-79.83150028173974
-65.59894521662949,-79.31784874039796
-67.13943610797375,-79.02690003728794
-68.73342467773259,-78.9335072164078
-70.28385947259702,-79.13275098209444
-71.82863508480557,-79.54142890221306
-73.47238904232469,-80.03905812732835
-75.14285457456602,-80.6383747131564
-76.89594304852343,-81.25469175475091
-78.60137542011614,-81.89378261156176
-80.31330225820611,-82.47703481427779
-82.14274298205068,-82.97535872429572
-84.0811818094387,-83.3175160446355
-86.17092130105647,-83.48434698907107
-88.33895189649192,-83.37328909771426
-90.50948315291413,-82.83051442642594
-92.65899796084558,-82.14484796744462
-94.8390810483546,-81.30338272242017
-96.98349794851052,-80.3572507360792
-99.09328979152906,-79.2600988444369
-101.17893087741467,-78.12806746495852
-103.15163490736983,-76.97420686124235
-105.10852976598859,-75.7036602065017
-106.85498393698906,-74.15966753717132
-108.338135844878,-72.3345395159309
-109.2950017528886,-70.34157524178887
-109.5666609925407,-68.20851438706232
-109.02165197996098,-66.0875863407444
-107.76581834171013,-64.18222094745859
-105.96684580797861,-62.70078787378485
-103.67075701403986,-61.93685920661872
-101.1828173345767,-61.85142692558139
-98.81708898161921,-62.1455058709656
-96.55384095816052,-62.670606501824274
-94.48492949105216,-63.42636969301391
-92.66069989156827,-64.31068510525893
-91.00909221615542,-65.2762993519785
-89.54176590543064,-66.2348604559524
-88.24469436019534,-67.08245277519187
-86.94864611293298,-67.98399072077832
-85.59425697984493,-69.00427150789456
-84.232763712127,-70.22053105549055
-82.96034250493025,-71.66212467348033
-81.83743259139385,-73.2938167666996
-80.88390742071796,-75.15567084580151
-80.08583474248117,-77.0496990541779
-79.37332139719146,-78.89522210559132
-78.76507084515825,-80.68175625380799
-78.1514846183106,-82.4884033365399
-77.47113099767174,-84.39048963000359
-76.64797045159969,-86.2836330120891
-75.71085777916288,-88.09506529278694
-74.70166398957822,-89.79452315066605
-73.60897627099573,-91.36564698420668
-72.47669468470829,-92.74081696937654
-71.336116499942,-94.03556614126826
-70.15450422955297,-95.20753714898976
-68.86305433999337,-96.34214726469271
-67.45057405024431,-97.29647897820188
-65.97713932005837,-98.05576790931612
-64.45548011977907,-98.56524282965671
-62.790520173781175,-98.84471280669538
-61.05022667237087,-98.8620736229035
-59.35472234853116,-98.52110700282927
-57.79237069740936,-97.73095058521636
-56.40763876101343,-96.61175832790691
-55.3481868337314,-95.23729441867005
-54.552664932972455,-93.6989593871654
-54.045886526918295,-92.0310223863858
-53.71110947720986,-90.41397979824099
-53.49820463902439,-88.86393886612316
-53.33223421215726,-87.19255631152181
-53.24611373835886,-85.44858965661527
-53.15544803053756,-83.67085299699946
-53.07897809463067,-81.88197886814082
-53.1080844822161,-80.05949733495356
-53.57063966002151,-78.42592384731677
-54.35778057440231,-77.02243509634286
-55.401365045153725,-75.83602869713738
-56.78186153652385,-74.91761753754233
-58.424680293680275,-74.31774798470741
-60.22938051434354,-73.98105399730659
-62.11158258760114,-73.81795625904232
-64.03112860373696,-73.67831792292425
-66.0406011727052,-73.59781126765225
-68.07698011874784,-73.44292094404412
-70.13967632952128,-73.30189857920985
-72.19049732489464,-73.01939631344015
-74.20405978293606,-72.56690186011429
-76.18451740429302,-71.90688078503644
-78.0854598371423,-71.14531218767918
-79.98184572477467,-70.28736363078104
-81.89811588255651,-69.38511594777701
-83.7745562807989,-68.40256069182625
-85.56515504871459,-67.4458411755595
-87.32291356333933,-66.430528751483
-89.03673636108049,-65.36584010829229
-90.68829512422735,-64.40322495029176
-92.29040564858212,-63.56356963906736
-93.94851688378377,-62.848895623276576
-95.73858264251875,-62.27300818009155
-97.64070463775055,-61.79960076237323
-99.36333483836492,-61.49051969116212
-100.95642322747392,-61.4447460799276
-102.58647885173795,-61.521769241237486
-104.25535384354652,-61.888110044013956
-105.9049776496677,-62.59557391050735
-107.39553950824026,-63.64366960407946
-108.61137441387626,-65.01253486838782
-109.45816686550283,-66.62038201852236
-109.8646890896559,-67.99194634128985
-109.98999477352125,-69.62292416109182
-109.64073378069071,-71.11673052559732
-108.94334727453545,-72.37784345844206
-107.43923201116962,-73.75304063382563
-105.72901087843098,-74.77279665622363
-104.05806060941264,-75.57350177299399
-101.9672311836161,-76.53422015094479
-99.96858568596012,-77.52174018894516
-97.94740077157276,-78.55574769988252
-95.99790776299469,-79.59850385957171
-94.09559509836606,-80.58404780019865
-92.2844335660685,-81.52475716964253
-90.4985601137575,-82.5055272711094
-88.84043009532841,-83.4108321120799
-86.83688542026624,-84.5600802403745
-85.15969189549033,-85.49600712379598
-83.33614827210147,-86.51560240026463
-81.47820801474342,-87.60188300042363
-80.04302104056063,-88.40976763206794
-78.4486859728608,-89.29876516911469
-76.59007670979021,-90.34630926037055
-75.06253789848913,-91.19774813230336
-73.12250465396721,-92.28327908332922
-71.58837812494247,-93.23442177253014
-70.0162359860654,-94.22591463926052
-68.55531831072656,-95.1980059529081
-67.13432113153718,-96.05216874677316
-66.11303099687301,-96.61667744211732
-65.20314563658351,-97.13135782711983
-64.47294484830267,-97.53134688402113
-64.18515466100531,-97.67374852638274
-64.18515466100531,-97.67374852638274
